trial,subject,sequence,translation_error,rotation_error
trial_1,subject-1,01,2.8128027779269336,89.20599447822124
trial_1,subject-1,02,0.2827367504214801,7.882771248447207
trial_1,subject-1,03,0.05247025025490189,5.237693209058199
trial_1,subject-1,04,0.07638624967137121,29.194255368601787
trial_1,subject-1,05,0.06277873094655086,1.1361181846243413
trial_2,subject-1,01,0.20116491575006645,5.401568315283452
trial_2,subject-1,02,,
trial_2,subject-1,03,,
trial_2,subject-1,04,0.21387905976923208,3.534444854168075
trial_2,subject-1,05,0.15709721715763666,0.9740891152666629
trial_3,subject-1,01,0.03904115415012825,0.7471749014852083
trial_3,subject-1,02,0.08698846306812626,2.3453649588854835
trial_3,subject-1,03,0.02838392328498642,0.8202663772964293
trial_3,subject-1,04,0.07867214956460616,8.859323353297743
trial_3,subject-1,05,0.10697312868266434,5.225794225867647
