trial,subject,sequence,translation_error,rotation_error
trial_1,subject-1,1,1.5580135532748862,50.57863211173613
trial_1,subject-1,2,0.1943818359528319,11.118178164582574
trial_1,subject-1,3,0.025038145846574822,1.4799445183626612
trial_1,subject-1,4,0.060830359506786946,4.55684632749214
trial_1,subject-1,5,0.05064330985247232,0.5340110124471623
trial_2,subject-1,1,0.33314052379302506,16.92123426326088
trial_2,subject-1,4,0.19235782471672358,31.822063288471245
trial_2,subject-1,5,0.0406764116296702,5.5038888166510676
trial_3,subject-1,1,0.034836846219622464,0.6359555830634555
trial_3,subject-1,2,0.05510439220253927,1.6832708048361915
trial_3,subject-1,3,0.0250684032603566,0.7238001879323281
trial_3,subject-1,4,0.025167816266951644,2.095314447391466
trial_3,subject-1,5,0.041997537254662494,2.7720553783475683
