trial,subject,sequence,translation_error,rotation_error
trial_1,subject-1,1,0.0424250679718807,2.561505757539892
trial_1,subject-1,2,0.2662499223367245,6.348195577456069
trial_1,subject-1,3,0.0522392597696939,5.237693209058199
trial_1,subject-1,4,0.0762536341612442,28.86582485971181
trial_1,subject-1,5,0.0607937412987402,1.1349945848449892
trial_2,subject-1,1,0.1547616491677162,5.137199527783404
trial_2,subject-1,4,0.213879059769232,3.020090652040345
trial_2,subject-1,5,0.1542608832760147,0.9676272977654298
trial_3,subject-1,1,0.0390017579608197,0.5111837057228882
trial_3,subject-1,2,0.086988463068126,1.53037300579489
trial_3,subject-1,3,0.0264664136107218,0.7773571756651346
trial_3,subject-1,4,0.0786633187233595,8.858742343900348
trial_3,subject-1,5,0.1037055764961021,4.567551149035554
