trial,subject,sequence,translation_error,rotation_error
trial_1,subject-1,1,1.4466652324602371,46.002262750294726
trial_1,subject-1,2,0.12453441839890911,10.665003928229394
trial_1,subject-1,3,1.0818162582323152e-05,0.0006228897273492407
trial_1,subject-1,4,2.9306696322375387e-05,0.004176664090714546
trial_1,subject-1,5,9.340504270132505e-05,0.004448208306110467
trial_2,subject-1,1,0.5687128258048192,33.32986453469172
trial_2,subject-1,4,0.5861152406908796,59.469338672378896
trial_2,subject-1,5,0.0003342931436009245,0.3622825207701515
trial_3,subject-1,1,0.002643221188049837,0.09434678648864432
trial_3,subject-1,2,0.04471703117017723,0.059044523205694276
trial_3,subject-1,3,2.7799755666017806e-05,0.001013324363617487
trial_3,subject-1,4,8.535134069896052e-05,0.0004062308360281735
trial_3,subject-1,5,0.0072672493278346,9.55445509858481
